Time,Date,Year,Away Team,Away Team 1st,Away Team 2nd,Away Team 3rd,Away Team 4th,Away Team OT,Home Team,Home Team 1st,Home Team 2nd,Home Team 3rd,Home Team 4th,Home Team OT
7:30 PM, October 19, 2021,Brooklyn Nets,25,34,26,19,0,Milwaukee Bucks,37,29,31,30,0
10:00 PM, October 19, 2021,Golden State Warriors,32,21,30,38,0,Los Angeles Lakers,34,25,26,29,0
7:00 PM, October 20, 2021,Indiana Pacers,38,37,13,34,0,Charlotte Hornets,27,32,33,31,0
7:00 PM, October 20, 2021,Chicago Bulls,14,26,31,23,0,Detroit Pistons,20,24,25,19,0
7:30 PM, October 20, 2021,Boston Celtics,35,23,24,34,18,New York Knicks,29,25,32,30,22
7:30 PM, October 20, 2021,Washington Wizards,26,31,24,17,0,Toronto Raptors,18,19,22,24,0
8:00 PM, October 20, 2021,Cleveland Cavaliers,32,29,29,31,0,Memphis Grizzlies,32,41,21,38,0
8:00 PM, October 20, 2021,Houston Rockets,21,24,26,35,0,Minnesota Timberwolves,32,40,27,25,0
8:00 PM, October 20, 2021,Philadelphia 76ers,29,24,28,36,0,New Orleans Pelicans,25,28,17,27,0
8:30 PM, October 20, 2021,Orlando Magic,28,21,22,26,0,San Antonio Spurs,32,29,33,29,0
9:00 PM, October 20, 2021,Oklahoma City Thunder,18,24,21,23,0,Utah Jazz,27,27,29,24,0
10:00 PM, October 20, 2021,Denver Nuggets,26,25,34,25,0,Phoenix Suns,20,38,24,16,0
10:00 PM, October 20, 2021,Sacramento Kings,24,38,38,24,0,Portland Trail Blazers,23,26,36,36,0
7:30 PM, October 21, 2021,Dallas Mavericks,20,24,20,23,0,Atlanta Hawks,22,29,35,27,0
8:00 PM, October 21, 2021,Milwaukee Bucks,17,26,26,26,0,Miami Heat,40,32,33,32,0
10:00 PM, October 21, 2021,LA Clippers,27,40,26,20,0,Golden State Warriors,44,22,24,25,0
7:00 PM, October 22, 2021,Charlotte Hornets,27,27,36,33,0,Cleveland Cavaliers,30,29,30,23,0
7:00 PM, October 22, 2021,New York Knicks,36,29,21,35,0,Orlando Magic,16,19,29,32,0
7:00 PM, October 22, 2021,Indiana Pacers,36,37,23,27,11,Washington Wizards,32,41,33,17,12
7:30 PM, October 22, 2021,Brooklyn Nets,28,27,30,29,0,Philadelphia 76ers,34,28,29,18,0
7:30 PM, October 22, 2021,Toronto Raptors,23,28,33,31,0,Boston Celtics,23,24,17,19,0
8:00 PM, October 22, 2021,New Orleans Pelicans,17,30,28,37,0,Chicago Bulls,28,37,27,36,0
8:00 PM, October 22, 2021,Oklahoma City Thunder,21,26,26,18,0,Houston Rockets,34,35,31,24,0
9:00 PM, October 22, 2021,San Antonio Spurs,22,28,20,26,0,Denver Nuggets,26,27,26,23,0
10:00 PM, October 22, 2021,Phoenix Suns,23,34,37,21,0,Los Angeles Lakers,26,18,23,38,0
10:00 PM, October 22, 2021,Utah Jazz,24,22,35,29,0,Sacramento Kings,26,26,28,21,0
6:00 PM, October 23, 2021,Atlanta Hawks,27,28,17,23,0,Cleveland Cavaliers,24,28,31,18,0
7:00 PM, October 23, 2021,Miami Heat,24,22,17,23,5,Indiana Pacers,28,28,8,22,16
7:30 PM, October 23, 2021,Dallas Mavericks,18,27,29,29,0,Toronto Raptors,25,26,21,23,0
8:00 PM, October 23, 2021,Detroit Pistons,28,15,11,28,0,Chicago Bulls,31,23,25,18,0
8:00 PM, October 23, 2021,New Orleans Pelicans,27,14,26,22,0,Minnesota Timberwolves,28,26,15,27,0
8:30 PM, October 23, 2021,Milwaukee Bucks,32,24,29,36,0,San Antonio Spurs,32,20,29,30,0
10:00 PM, October 23, 2021,Phoenix Suns,24,23,34,24,0,Portland Trail Blazers,30,37,39,28,0
