7:00 PM, November 7, 2012,Phoenix Suns,31,29,25,32,0,Charlotte Bobcats,22,24,35,29,0
7:30 PM, November 7, 2012,Washington Wizards,16,26,16,30,6,Boston Celtics,21,16,29,22,12
7:30 PM, November 7, 2012,Indiana Pacers,25,25,27,9,0,Atlanta Hawks,22,29,14,24,0
7:30 PM, November 7, 2012,Brooklyn Nets,22,19,15,17,0,Miami Heat,26,24,29,24,0
8:00 PM, November 7, 2012,Memphis Grizzlies,23,33,25,27,0,Milwaukee Bucks,22,21,25,22,0
8:00 PM, November 7, 2012,Philadelphia 76ers,16,20,21,20,0,New Orleans Hornets,19,18,10,15,0
8:00 PM, November 7, 2012,Denver Nuggets,25,31,13,24,0,Houston Rockets,18,23,23,23,0
8:00 PM, November 7, 2012,Orlando Magic,12,22,21,20,0,Minnesota Timberwolves,25,13,30,22,0
8:30 PM, November 7, 2012,Toronto Raptors,24,26,24,30,0,Dallas Mavericks,36,25,21,27,0
9:00 PM, November 7, 2012,Los Angeles Lakers,17,24,16,29,0,Utah Jazz,25,26,14,30,0
10:00 PM, November 7, 2012,Detroit Pistons,27,19,25,32,0,Sacramento Kings,26,29,24,26,0
10:30 PM, November 7, 2012,San Antonio Spurs,16,25,21,22,0,LA Clippers,22,25,35,24,0
10:30 PM, November 7, 2012,Cleveland Cavaliers,21,30,23,22,0,Golden State Warriors,37,22,26,21,0
8:00 PM, November 8, 2012,Oklahoma City Thunder,24,24,18,31,0,Chicago Bulls,24,23,25,19,0
10:30 PM, November 8, 2012,LA Clippers,29,31,17,26,0,Portland Trail Blazers,22,17,32,19,0
7:00 PM, November 9, 2012,Milwaukee Bucks,30,26,19,26,0,Washington Wizards,28,19,25,19,0
7:00 PM, November 9, 2012,Brooklyn Nets,19,31,25,32,0,Orlando Magic,17,19,15,17,0
7:30 PM, November 9, 2012,Philadelphia 76ers,23,34,26,23,0,Boston Celtics,20,25,29,26,0
7:30 PM, November 9, 2012,Dallas Mavericks,23,34,21,16,0,New York Knicks,25,30,29,20,0
7:30 PM, November 9, 2012,Miami Heat,25,17,30,23,0,Atlanta Hawks,25,21,25,18,0
8:00 PM, November 9, 2012,Houston Rockets,24,22,22,17,0,Memphis Grizzlies,17,25,27,24,0
8:00 PM, November 9, 2012,Charlotte Bobcats,21,28,20,30,0,New Orleans Hornets,24,35,19,29,0
8:00 PM, November 9, 2012,Detroit Pistons,19,23,27,25,0,Oklahoma City Thunder,18,31,25,31,0
8:00 PM, November 9, 2012,Indiana Pacers,19,24,21,30,0,Minnesota Timberwolves,21,21,27,27,0
9:00 PM, November 9, 2012,Cleveland Cavaliers,37,25,21,22,0,Phoenix Suns,16,33,27,31,0
10:00 PM, November 9, 2012,San Antonio Spurs,24,23,22,28,0,Sacramento Kings,27,12,29,18,0
10:30 PM, November 9, 2012,Utah Jazz,27,11,19,27,0,Denver Nuggets,26,27,20,31,0
10:30 PM, November 9, 2012,Golden State Warriors,22,16,17,22,0,Los Angeles Lakers,23,24,25,29,0
7:00 PM, November 10, 2012,Philadelphia 76ers,20,32,17,24,0,Toronto Raptors,26,7,29,21,0
7:00 PM, November 10, 2012,Washington Wizards,22,27,23,13,0,Indiana Pacers,23,26,21,19,0
7:30 PM, November 10, 2012,Dallas Mavericks,21,34,18,18,6,Charlotte Bobcats,24,20,24,23,10
8:00 PM, November 10, 2012,Minnesota Timberwolves,19,22,18,21,0,Chicago Bulls,20,20,23,24,0
8:00 PM, November 10, 2012,Detroit Pistons,15,26,16,25,0,Houston Rockets,20,27,25,24,0
8:30 PM, November 10, 2012,Boston Celtics,20,19,25,32,0,Milwaukee Bucks,22,20,26,24,0
9:00 PM, November 10, 2012,Phoenix Suns,19,24,18,20,0,Utah Jazz,29,21,27,17,0
10:00 PM, November 10, 2012,San Antonio Spurs,26,17,30,39,0,Portland Trail Blazers,26,26,27,30,0
10:30 PM, November 10, 2012,Denver Nuggets,24,16,22,24,21,Golden State Warriors,13,26,20,27,15
3:00 PM, November 11, 2012,Orlando Magic,17,18,18,21,0,Brooklyn Nets,35,15,13,19,0
3:30 PM, November 11, 2012,Atlanta Hawks,19,18,23,16,0,LA Clippers,18,21,26,24,0
6:00 PM, November 11, 2012,Miami Heat,21,20,25,20,0,Memphis Grizzlies,22,34,20,28,0
7:00 PM, November 11, 2012,Cleveland Cavaliers,21,25,27,18,0,Oklahoma City Thunder,27,30,22,27,0
9:30 PM, November 11, 2012,Sacramento Kings,22,26,18,24,0,Los Angeles Lakers,29,28,22,24,0
7:00 PM, November 12, 2012,Utah Jazz,26,26,30,22,36,Toronto Raptors,28,29,30,17,29
7:00 PM, November 12, 2012,Milwaukee Bucks,34,28,21,22,0,Philadelphia 76ers,26,24,33,13,0
7:30 PM, November 12, 2012,Oklahoma City Thunder,25,20,17,30,0,Detroit Pistons,23,28,22,17,0
8:00 PM, November 12, 2012,Boston Celtics,33,25,24,19,0,Chicago Bulls,27,19,24,25,0
8:00 PM, November 12, 2012,Miami Heat,25,31,26,31,0,Houston Rockets,19,33,33,25,0
8:30 PM, November 12, 2012,Minnesota Timberwolves,25,20,21,24,0,Dallas Mavericks,17,22,19,24,0
9:00 PM, November 12, 2012,Denver Nuggets,27,30,21,22,0,Phoenix Suns,23,31,29,27,0
10:00 PM, November 12, 2012,Atlanta Hawks,28,28,19,20,0,Portland Trail Blazers,22,25,20,20,0
7:00 PM, November 13, 2012,Washington Wizards,27,12,22,15,0,Charlotte Bobcats,23,29,18,22,0
7:00 PM, November 13, 2012,New York Knicks,27,22,28,22,0,Orlando Magic,23,30,23,13,0
7:00 PM, November 13, 2012,Toronto Raptors,29,17,23,5,0,Indiana Pacers,21,15,22,14,0
7:30 PM, November 13, 2012,Cleveland Cavaliers,30,12,33,26,0,Brooklyn Nets,29,35,21,29,0
10:00 PM, November 13, 2012,Portland Trail Blazers,25,21,28,29,0,Sacramento Kings,18,24,16,28,0
10:30 PM, November 13, 2012,San Antonio Spurs,18,20,22,24,0,Los Angeles Lakers,24,19,16,23,0
7:00 PM, November 14, 2012,Detroit Pistons,23,29,17,25,0,Philadelphia 76ers,17,17,20,22,0
7:30 PM, November 14, 2012,Utah Jazz,25,21,24,23,0,Boston Celtics,20,24,29,25,0
8:00 PM, November 14, 2012,Indiana Pacers,17,17,19,32,0,Milwaukee Bucks,33,27,22,17,0
8:00 PM, November 14, 2012,New Orleans Hornets,27,18,31,20,0,Houston Rockets,25,39,21,15,0
8:00 PM, November 14, 2012,Memphis Grizzlies,20,36,25,26,0,Oklahoma City Thunder,30,15,26,26,0
8:00 PM, November 14, 2012,Charlotte Bobcats,28,23,18,20,0,Minnesota Timberwolves,24,14,15,34,0
8:30 PM, November 14, 2012,Washington Wizards,19,26,22,34,0,Dallas Mavericks,23,40,22,22,0
9:00 PM, November 14, 2012,Chicago Bulls,29,28,26,17,12,Phoenix Suns,27,24,18,31,6
10:30 PM, November 14, 2012,Miami Heat,24,30,20,26,0,LA Clippers,25,27,33,22,0
10:30 PM, November 14, 2012,Atlanta Hawks,21,25,14,28,0,Golden State Warriors,22,32,17,21,0
8:00 PM, November 15, 2012,Boston Celtics,26,24,29,18,0,Brooklyn Nets,31,28,15,28,0
8:30 PM, November 15, 2012,New York Knicks,33,22,17,32,0,San Antonio Spurs,31,26,19,24,0
10:30 PM, November 15, 2012,Miami Heat,28,26,25,19,0,Denver Nuggets,20,22,24,27,0
7:00 PM, November 16, 2012,Utah Jazz,20,23,21,29,0,Philadelphia 76ers,30,22,19,28,0
7:00 PM, November 16, 2012,Dallas Mavericks,24,25,18,16,0,Indiana Pacers,24,24,28,27,0
7:30 PM, November 16, 2012,Orlando Magic,22,22,27,39,0,Detroit Pistons,25,25,25,31,0
8:00 PM, November 16, 2012,Oklahoma City Thunder,36,30,28,16,0,New Orleans Hornets,18,19,30,28,0
8:00 PM, November 16, 2012,Golden State Warriors,22,31,29,24,0,Minnesota Timberwolves,27,23,19,29,0
9:30 PM, November 16, 2012,New York Knicks,25,24,18,28,0,Memphis Grizzlies,29,25,31,20,0
10:00 PM, November 16, 2012,Atlanta Hawks,34,24,28,26,0,Sacramento Kings,20,36,14,26,0
10:00 PM, November 16, 2012,Houston Rockets,27,31,21,32,6,Portland Trail Blazers,22,29,27,33,8
10:30 PM, November 16, 2012,Phoenix Suns,30,27,27,18,0,Los Angeles Lakers,35,27,30,22,0
